model,train_Acc,train_AUC,test_Acc,test_AUC
Mean_PCA_ANOVA_10_AE,0.6852,0.7776,0.6636,0.7481
Mean_PCA_ANOVA_10_RF,1.0,1.0,0.6719,0.7457
Mean_PCA_ANOVA_10_LR,0.6555,0.7344,0.6357,0.711
Mean_PCA_ANOVA_10_AB,0.6823,0.7569,0.6461,0.7086
Mean_PCA_ANOVA_10_DT,1.0,1.0,0.6297,0.602
Mean_PCA_ANOVA_10_NB,0.6353,0.7165,0.6391,0.6983
Mean_PCA_ANOVA_11_SVM,0.6648,0.7337,0.6374,0.7054
Mean_PCA_ANOVA_11_LDA,0.6524,0.7381,0.6333,0.7124
Mean_PCA_ANOVA_11_AE,0.6721,0.7719,0.6521,0.7441
Mean_PCA_ANOVA_11_RF,1.0,1.0,0.6698,0.7445
Mean_PCA_ANOVA_11_LR,0.6555,0.7344,0.6357,0.711
Mean_PCA_ANOVA_11_AB,0.6823,0.7569,0.6461,0.7086
Mean_PCA_ANOVA_11_DT,1.0,1.0,0.6291,0.5993
Mean_PCA_ANOVA_11_NB,0.6353,0.7165,0.6391,0.6983
Mean_PCA_ANOVA_12_SVM,0.6567,0.7403,0.631,0.7102
Mean_PCA_ANOVA_12_LDA,0.656,0.7464,0.6404,0.717
Mean_PCA_ANOVA_12_AE,0.6937,0.7801,0.6638,0.7484
Mean_PCA_ANOVA_12_RF,1.0,1.0,0.6679,0.7457
Mean_PCA_ANOVA_12_LR,0.6508,0.7411,0.6312,0.714
Mean_PCA_ANOVA_12_AB,0.673,0.7561,0.6363,0.7065
Mean_PCA_ANOVA_12_DT,1.0,1.0,0.6399,0.6124
Mean_PCA_ANOVA_12_NB,0.646,0.7265,0.6333,0.7038
Mean_PCA_ANOVA_13_SVM,0.6607,0.7475,0.6385,0.7176
Mean_PCA_ANOVA_13_LDA,0.6532,0.7527,0.6348,0.7244
Mean_PCA_ANOVA_13_AE,0.6936,0.7946,0.6681,0.7613
Mean_PCA_ANOVA_13_RF,1.0,1.0,0.6689,0.7529
Mean_PCA_ANOVA_13_LR,0.6485,0.7476,0.6301,0.7204
Mean_PCA_ANOVA_13_AB,0.6682,0.7617,0.635,0.7152
Mean_PCA_ANOVA_13_DT,1.0,1.0,0.6372,0.6073
Mean_PCA_ANOVA_13_NB,0.6484,0.7275,0.6436,0.7075
Mean_PCA_ANOVA_14_SVM,0.6607,0.7475,0.6385,0.7176
Mean_PCA_ANOVA_14_LDA,0.6578,0.7528,0.6391,0.7242
Mean_PCA_ANOVA_14_AE,0.6964,0.7877,0.6706,0.7576
Mean_PCA_ANOVA_14_RF,1.0,1.0,0.6664,0.7514
Mean_PCA_ANOVA_14_LR,0.6485,0.7476,0.6301,0.7204
Mean_PCA_ANOVA_14_AB,0.6682,0.7617,0.635,0.7152
Mean_PCA_ANOVA_14_DT,1.0,1.0,0.6382,0.61
Mean_PCA_ANOVA_14_NB,0.6484,0.7275,0.6436,0.7075
Mean_PCA_ANOVA_15_SVM,0.6607,0.7475,0.6385,0.7176
Mean_PCA_ANOVA_15_LDA,0.6586,0.7529,0.6406,0.7243
Mean_PCA_ANOVA_15_AE,0.7069,0.7956,0.6758,0.7621
Mean_PCA_ANOVA_15_RF,1.0,1.0,0.6672,0.7515
Mean_PCA_ANOVA_15_LR,0.6485,0.7476,0.6301,0.7204
Mean_PCA_ANOVA_15_AB,0.6682,0.7617,0.635,0.7152
Mean_PCA_ANOVA_15_DT,1.0,1.0,0.6323,0.602
Mean_PCA_ANOVA_15_NB,0.6484,0.7275,0.6436,0.7075
Mean_PCA_ANOVA_16_SVM,0.6675,0.753,0.6442,0.7275
Mean_PCA_ANOVA_16_LDA,0.6638,0.7578,0.6489,0.733
Mean_PCA_ANOVA_16_AE,0.7016,0.7985,0.676,0.7678
Mean_PCA_ANOVA_16_RF,1.0,1.0,0.6694,0.7566
Mean_PCA_ANOVA_16_LR,0.6495,0.7532,0.6372,0.7304
Mean_PCA_ANOVA_16_AB,0.6755,0.7666,0.6457,0.723
Mean_PCA_ANOVA_16_DT,1.0,1.0,0.6233,0.5934
Mean_PCA_ANOVA_16_NB,0.6497,0.7322,0.6487,0.7157
Mean_PCA_ANOVA_17_SVM,0.6737,0.7589,0.657,0.7333
Mean_PCA_ANOVA_17_LDA,0.673,0.7633,0.6572,0.7375
Mean_PCA_ANOVA_17_AE,0.7106,0.805,0.6864,0.7724
Mean_PCA_ANOVA_17_RF,1.0,1.0,0.6866,0.7657
Mean_PCA_ANOVA_17_LR,0.6677,0.7591,0.6564,0.7358
Mean_PCA_ANOVA_17_AB,0.6735,0.7699,0.6542,0.7311
Mean_PCA_ANOVA_17_DT,1.0,1.0,0.637,0.6082
Mean_PCA_ANOVA_17_NB,0.6565,0.7321,0.6542,0.7157
Mean_PCA_ANOVA_18_SVM,0.6737,0.7589,0.657,0.7333
Mean_PCA_ANOVA_18_LDA,0.6785,0.7633,0.6617,0.7374
Mean_PCA_ANOVA_18_AE,0.7151,0.806,0.6849,0.7731
Mean_PCA_ANOVA_18_RF,1.0,1.0,0.6839,0.7677
Mean_PCA_ANOVA_18_LR,0.6677,0.7591,0.6564,0.7358
Mean_PCA_ANOVA_18_AB,0.6735,0.7699,0.6542,0.7311
Mean_PCA_ANOVA_18_DT,1.0,1.0,0.6355,0.6041
Mean_PCA_ANOVA_18_NB,0.6565,0.7321,0.6542,0.7157
Mean_PCA_ANOVA_19_SVM,0.6723,0.7629,0.6604,0.7401
Mean_PCA_ANOVA_19_LDA,0.674,0.7673,0.6613,0.7443
Mean_PCA_ANOVA_19_AE,0.7129,0.8064,0.6864,0.7728
Mean_PCA_ANOVA_19_RF,1.0,1.0,0.6896,0.7704
Mean_PCA_ANOVA_19_LR,0.6652,0.7636,0.6579,0.7429
Mean_PCA_ANOVA_19_AB,0.6814,0.7744,0.6623,0.7355
Mean_PCA_ANOVA_19_DT,1.0,1.0,0.6331,0.6005
Mean_PCA_ANOVA_19_NB,0.6503,0.7366,0.6495,0.7223
Mean_PCA_ANOVA_20_SVM,0.6767,0.7682,0.6623,0.7435
Mean_PCA_ANOVA_20_LDA,0.6787,0.7717,0.6632,0.7472
Mean_PCA_ANOVA_20_AE,0.7068,0.8071,0.6802,0.773
Mean_PCA_ANOVA_20_RF,1.0,1.0,0.6854,0.7691
Mean_PCA_ANOVA_20_LR,0.6822,0.7691,0.6657,0.7459
Mean_PCA_ANOVA_20_AB,0.6959,0.7797,0.6643,0.7374
Mean_PCA_ANOVA_20_DT,1.0,1.0,0.6385,0.6091
Mean_PCA_ANOVA_20_NB,0.656,0.7418,0.6525,0.7248
Mean_PCA_ANOVA_21_SVM,0.6746,0.7721,0.657,0.7437
Mean_PCA_ANOVA_21_LDA,0.6802,0.775,0.6583,0.7464
Mean_PCA_ANOVA_21_AE,0.7081,0.8125,0.6777,0.7745
Mean_PCA_ANOVA_21_RF,1.0,1.0,0.6847,0.7694
Mean_PCA_ANOVA_21_LR,0.6708,0.7732,0.6542,0.7459
Mean_PCA_ANOVA_21_AB,0.6809,0.7799,0.6576,0.7337
Mean_PCA_ANOVA_21_DT,1.0,1.0,0.635,0.6052
Mean_PCA_ANOVA_21_NB,0.6649,0.7449,0.6564,0.7255
Mean_PCA_ANOVA_22_SVM,0.6985,0.7773,0.6758,0.7497
Mean_PCA_ANOVA_22_LDA,0.6761,0.7797,0.6625,0.7518
Mean_PCA_ANOVA_22_AE,0.7096,0.8056,0.6811,0.7732
Mean_PCA_ANOVA_22_RF,1.0,1.0,0.6856,0.7733
Mean_PCA_ANOVA_22_LR,0.6927,0.7783,0.6702,0.7513
Mean_PCA_ANOVA_22_AB,0.6908,0.784,0.6608,0.7422
Mean_PCA_ANOVA_22_DT,1.0,1.0,0.6359,0.6043
Mean_PCA_ANOVA_22_NB,0.679,0.7498,0.6619,0.7295
Mean_PCA_ANOVA_23_SVM,0.7061,0.7817,0.6751,0.7532
Mean_PCA_ANOVA_23_LDA,0.6958,0.7847,0.6689,0.7554
Mean_PCA_ANOVA_23_AE,0.7082,0.8054,0.6785,0.7731
Mean_PCA_ANOVA_23_RF,1.0,1.0,0.6918,0.7739
Mean_PCA_ANOVA_23_LR,0.6825,0.7829,0.6655,0.7553
Mean_PCA_ANOVA_23_AB,0.6821,0.7866,0.6562,0.7447
Mean_PCA_ANOVA_23_DT,1.0,1.0,0.6374,0.6079
Mean_PCA_ANOVA_23_NB,0.6721,0.7537,0.6638,0.7328
Mean_PCA_ANOVA_24_SVM,0.6945,0.7859,0.6715,0.7569
Mean_PCA_ANOVA_24_LDA,0.6832,0.7884,0.6643,0.7588
Mean_PCA_ANOVA_24_AE,0.7234,0.8154,0.69,0.7784
Mean_PCA_ANOVA_24_RF,1.0,1.0,0.6979,0.7771
Mean_PCA_ANOVA_24_LR,0.6756,0.787,0.6598,0.7589
Mean_PCA_ANOVA_24_AB,0.6922,0.7892,0.6657,0.745
Mean_PCA_ANOVA_24_DT,1.0,1.0,0.6348,0.6044
Mean_PCA_ANOVA_24_NB,0.6764,0.7548,0.6668,0.735
Mean_PCA_ANOVA_25_SVM,0.6945,0.7859,0.6715,0.7569
Mean_PCA_ANOVA_25_LDA,0.6828,0.7886,0.6651,0.7592
Mean_PCA_ANOVA_25_AE,0.7158,0.8103,0.6883,0.7768
Mean_PCA_ANOVA_25_RF,1.0,1.0,0.6984,0.7765
Mean_PCA_ANOVA_25_LR,0.6756,0.787,0.6598,0.7589
Mean_PCA_ANOVA_25_AB,0.6922,0.7892,0.6657,0.745
Mean_PCA_ANOVA_25_DT,1.0,1.0,0.6372,0.608
Mean_PCA_ANOVA_25_NB,0.6764,0.7548,0.6668,0.735
Mean_PCA_ANOVA_26_SVM,0.6987,0.7897,0.6753,0.7603
Mean_PCA_ANOVA_26_LDA,0.7017,0.7916,0.6779,0.7618
Mean_PCA_ANOVA_26_AE,0.7322,0.8339,0.696,0.7845
Mean_PCA_ANOVA_26_RF,1.0,1.0,0.69,0.7746
Mean_PCA_ANOVA_26_LR,0.6988,0.7907,0.6743,0.7617
Mean_PCA_ANOVA_26_AB,0.7016,0.7907,0.6706,0.743
Mean_PCA_ANOVA_26_DT,1.0,1.0,0.6304,0.6007
Mean_PCA_ANOVA_26_NB,0.6848,0.7565,0.6719,0.7366
Mean_PCA_ANOVA_27_SVM,0.7037,0.7916,0.6766,0.7619
Mean_PCA_ANOVA_27_LDA,0.7051,0.7926,0.68,0.7619
Mean_PCA_ANOVA_27_AE,0.7041,0.8045,0.6768,0.7724
Mean_PCA_ANOVA_27_RF,1.0,1.0,0.6954,0.7789
Mean_PCA_ANOVA_27_LR,0.7012,0.793,0.6807,0.7633
Mean_PCA_ANOVA_27_AB,0.7027,0.7923,0.6717,0.7455
Mean_PCA_ANOVA_27_DT,1.0,1.0,0.6318,0.602
Mean_PCA_ANOVA_27_NB,0.6804,0.7578,0.6696,0.7375
Mean_PCA_ANOVA_28_SVM,0.7151,0.7943,0.6841,0.7618
Mean_PCA_ANOVA_28_LDA,0.712,0.7948,0.6805,0.762
Mean_PCA_ANOVA_28_AE,0.7417,0.8387,0.6988,0.7901
Mean_PCA_ANOVA_28_RF,1.0,1.0,0.6888,0.779
Mean_PCA_ANOVA_28_LR,0.7005,0.7955,0.6741,0.7635
Mean_PCA_ANOVA_28_AB,0.699,0.7948,0.6621,0.745
Mean_PCA_ANOVA_28_DT,1.0,1.0,0.6387,0.6104
Mean_PCA_ANOVA_28_NB,0.6895,0.758,0.6751,0.7351
Mean_PCA_ANOVA_29_SVM,0.714,0.7968,0.6781,0.7639
Mean_PCA_ANOVA_29_LDA,0.7202,0.7968,0.6871,0.7633
Mean_PCA_ANOVA_29_AE,0.7445,0.8343,0.7039,0.7898
Mean_PCA_ANOVA_29_RF,1.0,1.0,0.6949,0.7799
Mean_PCA_ANOVA_29_LR,0.7089,0.7978,0.6755,0.7653
Mean_PCA_ANOVA_29_AB,0.6976,0.7965,0.6562,0.7468
Mean_PCA_ANOVA_29_DT,1.0,1.0,0.6387,0.6114
Mean_PCA_ANOVA_29_NB,0.6948,0.7598,0.6777,0.7364
Mean_PCA_ANOVA_30_SVM,0.7084,0.7995,0.6738,0.7667
Mean_PCA_ANOVA_30_LDA,0.7181,0.7994,0.6841,0.7658
Mean_PCA_ANOVA_30_AE,0.7341,0.8401,0.6924,0.7932
Mean_PCA_ANOVA_30_RF,1.0,1.0,0.6958,0.7804
Mean_PCA_ANOVA_30_LR,0.7162,0.8003,0.6811,0.768
Mean_PCA_ANOVA_30_AB,0.7034,0.7994,0.6647,0.7485
Mean_PCA_ANOVA_30_DT,1.0,1.0,0.6397,0.6096
Mean_PCA_ANOVA_30_NB,0.6939,0.7585,0.6783,0.7364
Mean_PCA_ANOVA_31_SVM,0.7158,0.8006,0.6819,0.766
Mean_PCA_ANOVA_31_LDA,0.7146,0.8012,0.6815,0.7653
Mean_PCA_ANOVA_31_AE,0.7363,0.8311,0.7005,0.7906
Mean_PCA_ANOVA_31_RF,1.0,1.0,0.693,0.7851
Mean_PCA_ANOVA_31_LR,0.7151,0.8014,0.6796,0.7673
Mean_PCA_ANOVA_31_AB,0.7129,0.8005,0.6687,0.7488
Mean_PCA_ANOVA_31_DT,1.0,1.0,0.6353,0.6027
Mean_PCA_ANOVA_31_NB,0.6904,0.757,0.6755,0.7359
Mean_PCA_ANOVA_32_SVM,0.7187,0.8021,0.6849,0.7662
Mean_PCA_ANOVA_32_LDA,0.7144,0.803,0.6787,0.7659
Mean_PCA_ANOVA_32_AE,0.7465,0.8375,0.7086,0.7938
Mean_PCA_ANOVA_32_RF,1.0,1.0,0.6975,0.7896
Mean_PCA_ANOVA_32_LR,0.7105,0.8032,0.6749,0.7678
Mean_PCA_ANOVA_32_AB,0.7096,0.8008,0.664,0.7492
Mean_PCA_ANOVA_32_DT,1.0,1.0,0.647,0.6144
Mean_PCA_ANOVA_32_NB,0.6805,0.7561,0.6728,0.7353
Mean_PCA_ANOVA_33_SVM,0.7187,0.8021,0.6849,0.7662
Mean_PCA_ANOVA_33_LDA,0.6991,0.8031,0.6713,0.7663
Mean_PCA_ANOVA_33_AE,0.7548,0.8407,0.7103,0.7941
Mean_PCA_ANOVA_33_RF,1.0,1.0,0.6949,0.7838
Mean_PCA_ANOVA_33_LR,0.7105,0.8032,0.6749,0.7678
Mean_PCA_ANOVA_33_AB,0.7096,0.8008,0.664,0.7492
Mean_PCA_ANOVA_33_DT,1.0,1.0,0.641,0.6069
Mean_PCA_ANOVA_33_NB,0.6805,0.7561,0.6728,0.7353
Mean_PCA_ANOVA_34_SVM,0.7246,0.8057,0.6909,0.77
Mean_PCA_ANOVA_34_LDA,0.72,0.8058,0.6845,0.769
Mean_PCA_ANOVA_34_AE,0.7433,0.8334,0.7071,0.7927
Mean_PCA_ANOVA_34_RF,1.0,1.0,0.6973,0.7853
Mean_PCA_ANOVA_34_LR,0.7229,0.8065,0.6871,0.7712
Mean_PCA_ANOVA_34_AB,0.7077,0.8034,0.6724,0.7495
Mean_PCA_ANOVA_34_DT,1.0,1.0,0.6419,0.6128
Mean_PCA_ANOVA_34_NB,0.6846,0.7558,0.6781,0.7337
Mean_PCA_ANOVA_35_SVM,0.7164,0.8075,0.6877,0.7733
Mean_PCA_ANOVA_35_LDA,0.7039,0.8072,0.677,0.772
Mean_PCA_ANOVA_35_AE,0.7521,0.8535,0.7118,0.8026
Mean_PCA_ANOVA_35_RF,1.0,1.0,0.6962,0.789
Mean_PCA_ANOVA_35_LR,0.718,0.8082,0.6879,0.7745
Mean_PCA_ANOVA_35_AB,0.7061,0.8039,0.667,0.7512
Mean_PCA_ANOVA_35_DT,1.0,1.0,0.6463,0.6192
Mean_PCA_ANOVA_35_NB,0.6847,0.7527,0.67,0.7319
Mean_PCA_ANOVA_36_SVM,0.731,0.8092,0.6949,0.774
Mean_PCA_ANOVA_36_LDA,0.7122,0.809,0.6811,0.7727
Mean_PCA_ANOVA_36_AE,0.772,0.8602,0.7212,0.8047
Mean_PCA_ANOVA_36_RF,1.0,1.0,0.6949,0.7913
Mean_PCA_ANOVA_36_LR,0.7286,0.8097,0.6928,0.7756
Mean_PCA_ANOVA_36_AB,0.7099,0.8054,0.6713,0.7528
Mean_PCA_ANOVA_36_DT,1.0,1.0,0.6466,0.6161
Mean_PCA_ANOVA_36_NB,0.6761,0.7502,0.6696,0.7303
Mean_PCA_ANOVA_37_SVM,0.7157,0.8101,0.6839,0.7741
Mean_PCA_ANOVA_37_LDA,0.7274,0.8096,0.6903,0.7725
Mean_PCA_ANOVA_37_AE,0.7797,0.8622,0.734,0.8072
Mean_PCA_ANOVA_37_RF,1.0,1.0,0.6973,0.7928
Mean_PCA_ANOVA_37_LR,0.7279,0.8106,0.6898,0.7754
Mean_PCA_ANOVA_37_AB,0.7059,0.8051,0.6657,0.7505
Mean_PCA_ANOVA_37_DT,1.0,1.0,0.6489,0.6178
Mean_PCA_ANOVA_37_NB,0.6843,0.7496,0.6753,0.7286
Mean_PCA_ANOVA_38_SVM,0.7157,0.8101,0.6839,0.7741
Mean_PCA_ANOVA_38_LDA,0.7269,0.8097,0.6896,0.7725
Mean_PCA_ANOVA_38_AE,0.7658,0.8595,0.719,0.8054
Mean_PCA_ANOVA_38_RF,1.0,1.0,0.7001,0.7915
Mean_PCA_ANOVA_38_LR,0.7279,0.8106,0.6898,0.7754
Mean_PCA_ANOVA_38_AB,0.7059,0.8051,0.6657,0.7505
Mean_PCA_ANOVA_38_DT,1.0,1.0,0.6427,0.6143
Mean_PCA_ANOVA_38_NB,0.6843,0.7496,0.6753,0.7286
Mean_PCA_ANOVA_39_SVM,0.7281,0.811,0.6932,0.775
Mean_PCA_ANOVA_39_LDA,0.7159,0.8107,0.6794,0.7728
Mean_PCA_ANOVA_39_AE,0.7691,0.8556,0.7207,0.8048
Mean_PCA_ANOVA_39_RF,1.0,1.0,0.6905,0.7907
Mean_PCA_ANOVA_39_LR,0.7314,0.8116,0.6915,0.7761
Mean_PCA_ANOVA_39_AB,0.7086,0.8051,0.6677,0.7495
Mean_PCA_ANOVA_39_DT,1.0,1.0,0.6436,0.6112
Mean_PCA_ANOVA_39_NB,0.677,0.7496,0.6683,0.7281
Mean_PCA_ANOVA_40_SVM,0.7306,0.8129,0.6947,0.7757
Mean_PCA_ANOVA_40_LDA,0.7195,0.8123,0.6839,0.7731
Mean_PCA_ANOVA_40_AE,0.7556,0.8479,0.7171,0.8023
Mean_PCA_ANOVA_40_RF,1.0,1.0,0.6952,0.7897
Mean_PCA_ANOVA_40_LR,0.7315,0.8134,0.6975,0.7766
Mean_PCA_ANOVA_40_AB,0.7058,0.8063,0.6619,0.7488
Mean_PCA_ANOVA_40_DT,1.0,1.0,0.6498,0.6223
Mean_PCA_ANOVA_40_NB,0.6769,0.7478,0.6681,0.7268
Mean_PCA_KW_1_SVM,0.3636,0.3716,0.3643,0.3726
Mean_PCA_KW_1_LDA,0.5328,0.6284,0.531,0.6274
Mean_PCA_KW_1_AE,0.5328,0.6284,0.531,0.6274
Mean_PCA_KW_1_RF,0.9997,1.0,0.5656,0.5669
Mean_PCA_KW_1_LR,0.5328,0.6284,0.531,0.6274
Mean_PCA_KW_1_AB,0.5332,0.6363,0.5302,0.6118
Mean_PCA_KW_1_DT,0.9997,1.0,0.5656,0.5285
Mean_PCA_KW_1_NB,0.532,0.6101,0.5321,0.622
Mean_PCA_KW_2_SVM,0.3636,0.3716,0.3643,0.3726
Mean_PCA_KW_2_LDA,0.6112,0.6745,0.6061,0.6594
Mean_PCA_KW_2_AE,0.5328,0.6284,0.531,0.6274
Mean_PCA_KW_2_RF,0.9997,1.0,0.5656,0.5669
Mean_PCA_KW_2_LR,0.5328,0.6284,0.531,0.6274
Mean_PCA_KW_2_AB,0.5332,0.6363,0.5302,0.6118
Mean_PCA_KW_2_DT,0.9997,1.0,0.5656,0.5285
Mean_PCA_KW_2_NB,0.532,0.6101,0.5321,0.622
Mean_PCA_KW_3_SVM,0.5854,0.603,0.5726,0.5847
Mean_PCA_KW_3_LDA,0.6603,0.7057,0.648,0.6848
Mean_PCA_KW_3_AE,0.6213,0.704,0.6029,0.6845
Mean_PCA_KW_3_RF,1.0,1.0,0.6199,0.6298
Mean_PCA_KW_3_LR,0.6316,0.6962,0.6242,0.6804
Mean_PCA_KW_3_AB,0.6445,0.703,0.6201,0.6702
Mean_PCA_KW_3_DT,1.0,1.0,0.5779,0.5466
Mean_PCA_KW_3_NB,0.6152,0.6817,0.6118,0.672
Mean_PCA_KW_4_SVM,0.5854,0.603,0.5726,0.5847
Mean_PCA_KW_4_LDA,0.6259,0.7149,0.6095,0.6922
Mean_PCA_KW_4_AE,0.6278,0.7028,0.6101,0.6837
Mean_PCA_KW_4_RF,1.0,1.0,0.6171,0.6273
Mean_PCA_KW_4_LR,0.6316,0.6962,0.6242,0.6804
Mean_PCA_KW_4_AB,0.6445,0.703,0.6201,0.6702
Mean_PCA_KW_4_DT,1.0,1.0,0.5762,0.5449
Mean_PCA_KW_4_NB,0.6152,0.6817,0.6118,0.672
Mean_PCA_KW_5_SVM,0.6293,0.6938,0.6191,0.6788
Mean_PCA_KW_5_LDA,0.6248,0.7136,0.6099,0.6912
Mean_PCA_KW_5_AE,0.6375,0.7288,0.6188,0.7081
Mean_PCA_KW_5_RF,1.0,1.0,0.6389,0.6851
Mean_PCA_KW_5_LR,0.6122,0.6989,0.6012,0.6808
Mean_PCA_KW_5_AB,0.6323,0.7143,0.609,0.6822
Mean_PCA_KW_5_DT,1.0,1.0,0.6067,0.5752
Mean_PCA_KW_5_NB,0.6249,0.683,0.6231,0.6699
Mean_PCA_KW_6_SVM,0.6422,0.7144,0.634,0.6996
Mean_PCA_KW_6_LDA,0.6343,0.7253,0.6184,0.7055
Mean_PCA_KW_6_AE,0.6571,0.7484,0.6374,0.7263
Mean_PCA_KW_6_RF,1.0,1.0,0.6451,0.7121
Mean_PCA_KW_6_LR,0.6307,0.7157,0.6212,0.6994
Mean_PCA_KW_6_AB,0.6559,0.7347,0.6312,0.6962
